"Measure Name","Measure Start Quarter","Measure Start Date","Measure End Quarter","Measure End Date"
"ACEI or ARB for LVSD","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Blood Cultures Performed in the Emergency Department Prior to Initial Antibiotic Received in Hospital","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Initial Antibiotic Selection for CAP in Immunocompetent Patient","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Prophylactic Antibiotic Received Within 1 Hour Prior to Surgical Incision","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Prophylactic Antibiotic Selection for Surgical Patients","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Head CT Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke who Received Head CT Scan Interpretation Within 45 Minutes of Arrival","1Q2012","1/1/2012","1Q2012","3/31/2012"
"Median Time to Fibrinolysis","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Median Time to Transfer to Another Facility for Acute Coronary Intervention- Reporting Rate","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Aspirin at Arrival","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Median Time to ECG","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Timing of Antibiotic Prophylaxis","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Prophylactic Antibiotic Selection for Surgical Patients","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Median Time from ED Arrival to ED Departure for Discharged ED Patients","1Q2012","1/1/2012","1Q2012","3/31/2012"
"Median Time from ED Arrival to Provider Contact for ED patients","1Q2012","1/1/2012","1Q2012","3/31/2012"
"Median Time to Pain Management for Long Bone Fracture","1Q2012","1/1/2012","1Q2012","3/31/2012"
"MRI Lumbar Spine for Low Back Pain","1Q2010","1/1/2010","4Q2010","12/31/2010"
"Mammography Follow-up Rates","1Q2010","1/1/2010","4Q2010","12/31/2010"
"Abdomen CT - Use of Contrast Material","1Q2010","1/1/2010","4Q2010","12/31/2010"
"Thorax CT - Use of Contrast Material","1Q2010","1/1/2010","4Q2010","12/31/2010"
"Cardiac imaging for preoperative risk assessment for non-cardiac low-risk surgery","1Q2010","1/1/2010","4Q2010","12/31/2010"
"Simultaneous use of brain Computed Tomography (CT) and sinus Computed Tomography (CT)","1Q2010","1/1/2010","4Q2010","12/31/2010"
"The Ability for Providers with HIT to Receive Laboratory Data Electronically Directly into their ONC Certified EHR System as Discrete Searchable Data","1Q2011","1/1/2011","4Q2011","12/31/2011"
"Tracking Clinical Results Between Visits","1Q2011","1/1/2011","4Q2011","12/31/2011"
"Left Without Being Seen","1Q2011","1/1/2011","4Q2011","12/31/2011"
