"State","Percent of patients who reported that their nurses 'Sometimes' or 'Never' communicated well.","Percent of patients who reported that their nurses 'Usually' communicated well.","Percent of patients who reported that their nurses 'Always' communicated well.","Percent of patients who reported that their doctors 'Sometimes' or 'Never' communicated well.","Percent of patients who reported that their doctors 'Usually' communicated well.","Percent of patients who reported that their doctors 'Always' communicated well.","Percent of patients who reported that they 'Sometimes' or 'Never' received help as soon as they wanted.","Percent of patients who reported that they 'Usually' received help as soon as they wanted.","Percent of patients who reported that they 'Always' received help as soon as they wanted.","Percent of patients who reported that their pain was 'Sometimes' or 'Never' well controlled.","Percent of patients who reported that their pain was 'Usually' well controlled.","Percent of patients who reported that their pain was 'Always' well controlled.","Percent of patients who reported that staff 'Sometimes' or 'Never' explained about medicines before giving it to them.","Percent of patients who reported that staff 'Usually' explained about medicines before giving it to them.","Percent of patients who reported that staff 'Always' explained about medicines before giving it to them.","Percent of patients who reported that their room and bathroom were 'Sometimes' or 'Never' clean.","Percent of patients who reported that their room and bathroom were 'Usually' clean.","Percent of patients who reported that their room and bathroom were 'Always' clean.","Percent of patients who reported that the area around their room was 'Sometimes' or 'Never' quiet at night.","Percent of patients who reported that the area around their room was 'Usually' quiet at night.","Percent of patients who reported that the area around their room was 'Always' quiet at night.","Percent of patients at each hospital who reported that YES they were given information about what to do during recovery.","Percent of patients who reported that they were not given information about what to do during their recovery at home.","Percent of patients who gave their hospital a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest).","Percent of patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest).","Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest).","Percent of patients who reported NO they would not recommend the hospital.","Percent of patients who reported YES they would probably recommend the hospital.","Patients who reported YES they would definitely recommend the hospital."
"MT","5","19","76","4","15","81","7","23","70","7","24","69","19","19","62","8","20","72","11","30","59","82","18","11","23","66","5","28","67"
"NC","4","16","80","4","13","83","9","23","68","7","22","71","18","17","65","10","19","71","8","29","63","85","15","7","22","71","5","24","71"
"ND","4","19","77","4","18","78","8","27","65","6","25","69","19","21","60","8","20","72","10","35","55","85","15","9","25","66","4","27","69"
"NE","3","16","81","2","14","84","5","23","72","5","23","72","15","21","64","6","16","78","7","29","64","87","13","5","20","75","3","21","76"
"NH","4","16","80","4","15","81","7","22","71","6","22","72","16","18","66","6","17","77","11","33","56","88","12","7","21","72","4","21","75"
"NJ","6","19","75","6","17","77","14","27","59","9","24","67","23","18","59","10","22","68","16","32","52","80","20","11","26","63","7","27","66"
"NM","6","19","75","6","15","79","11","22","67","8","22","70","19","18","63","10","20","70","12","29","59","81","19","11","26","63","6","33","61"
"NV","8","21","71","8","17","75","14","28","58","9","25","66","24","18","58","12","20","68","14","31","55","83","17","11","24","65","8","25","67"
"NY","7","20","73","6","17","77","14","27","59","9","25","66","23","19","58","11","21","68","17","34","49","81","19","12","27","61","7","29","64"
"OH","4","17","79","4","16","80","8","24","68","6","23","71","19","18","63","7","19","74","11","32","57","85","15","8","21","71","4","25","71"
"OK","4","17","79","3","13","84","8","22","70","6","21","73","19","18","63","9","17","74","7","26","67","83","17","8","21","71","5","25","70"
"OR","4","19","77","4","16","80","7","26","67","6","24","70","18","19","63","8","19","73","11","35","54","85","15","7","24","69","4","24","72"
"PA","5","17","78","5","16","79","10","25","65","7","24","69","21","18","61","9","20","71","14","33","53","84","16","9","24","67","5","27","68"
"PR","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"RI","5","17","78","5","15","80","11","24","65","7","22","71","21","18","61","7","18","75","14","34","52","84","16","8","24","68","5","23","72"
"SC","5","15","80","4","12","84","10","22","68","7","21","72","18","16","66","9","18","73","7","25","68","85","15","8","21","71","5","24","71"
"SD","2","15","83","2","13","85","5","19","76","5","23","72","13","19","68","5","15","80","5","26","69","85","15","6","21","73","2","24","74"
"TN","5","16","79","4","13","83","10","23","67","7","22","71","20","16","64","10","18","72","7","27","66","83","17","8","23","69","6","24","70"
"TX","5","16","79","4","13","83","9","23","68","7","21","72","19","16","65","9","17","74","7","26","67","84","16","8","20","72","5","22","73"
"UT","3","18","79","2","15","83","6","24","70","5","23","72","17","18","65","7","19","74","8","32","60","89","11","6","20","74","3","21","76"
"VA","5","18","77","4","15","81","11","25","64","8","23","69","21","17","62","10","19","71","11","30","59","84","16","9","24","67","6","26","68"
"VI","7","17","76","5","12","83","14","27","59","10","22","68","25","21","54","16","23","61","16","31","53","74","26","10","35","55","6","29","65"
"VT","4","17","79","4","15","81","7","24","69","6","22","72","16","19","65","6","17","77","11","36","53","87","13","8","22","70","4","23","73"
"WA","4","20","76","4","16","80","8","27","65","6","25","69","18","20","62","8","20","72","12","35","53","86","14","7","23","70","4","23","73"
"WI","3","16","81","3","14","83","6","23","71","5","23","72","14","19","67","5","17","78","7","30","63","87","13","6","20","74","3","23","74"
"WV","6","17","77","4","14","82","11","24","65","9","22","69","20","17","63","9","18","73","13","31","56","83","17","11","24","65","6","29","65"
"WY","4","19","77","4","15","81","7","22","71","7","24","69","16","19","65","8","19","73","8","32","60","86","14","8","26","66","5","28","67"
