"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection","Number of Patients 1","Footnote 1","Surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)","Number of Patients 2","Footnote 2","Surgery patients who were given the right kind of antibiotic to help prevent infection","Number of Patients 3","Footnote 3","Patients who got treatment at the right time (within 24 hours before or after their surgery) to help prevent blood clots","Number of Patients 4","Footnote 4","Surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries","Number of Patients 5","Footnote 5","Heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery","Number of Patients 6","Footnote 6","The percent of surgery patients whose urinary catheters were removed on the first or second day after surgery","Number of Patients 11","Footnote 11","Surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on them","Number of Patients 8","Footnote 8","Outpatients having surgery who got an antibiotic at the right time - within one hour before surgery (higher numbers are better)","Number of Patients 9","Footnote 9","Outpatients having surgery who got the right kind of antibiotic (higher numbers are better)","Number of Patients 10","Footnote 10","Patients having surgery who were actively warmed in the operating room or whose body temperature was near normal","Number of Patients 13","Footnote 13"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","","","OZARK","AL","36360","DALE","3347742601","95","39","","89","37","","97","39","","86","69","","88","69","","Not Available","0","","100","47","","46","13","The number of cases is too small to reliably tell how well a hospital is performing","93","15","The number of cases is too small to reliably tell how well a hospital is performing","64","14","The number of cases is too small to reliably tell how well a hospital is performing","99","71",""
"010022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","","","CENTRE","AL","35960","CHEROKEE","2569275531","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure"
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","","","MONTGOMERY","AL","36116","MONTGOMERY","3342882100","99","670","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","665","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","676","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","520","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","520","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","180","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","346","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","345","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","598","","100","589","","100","701","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","","","MONTGOMERY","AL","36106","MONTGOMERY","3342938000","99","729","","98","716","","100","749","","98","705","","98","708","","96","246","","97","646","","99","409","","100","569","","99","569","","100","901",""
"010025","GEORGE H. LANIER MEMORIAL HOSPITAL","4800 48TH ST","","","VALLEY","AL","36854","CHAMBERS","3347561400","100","84","","98","82","","98","84","","97","102","","99","102","","Not Available","0","","89","72","","88","34","","92","90","","94","85","","100","141",""
"010027","ELBA GENERAL HOSPITAL","987 DRAYTON STREET","","","ELBA","AL","36323","COFFEE","3348972257","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"010029","EAST ALABAMA MEDICAL CENTER AND SNF","2000 PEPPERELL PARKWAY","","","OPELIKA","AL","36801","LEE","3347493411","100","941","","99","894","","100","953","","100","913","","100","913","","99","218","","100","737","","100","386","","99","771","","99","766","","100","1060",""
"010032","WEDOWEE HOSPITAL","209 NORTH MAIN STREET","","","WEDOWEE","AL","36278","RANDOLPH","2563572111","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","","","BIRMINGHAM","AL","35233","JEFFERSON","2059344011","98","372","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","354","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","388","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","417","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","418","The hospital indicated that the data submitted for this measure were based on a sample of cases","88","110","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","286","The hospital indicated that the data submitted for this measure were based on a sample of cases","86","169","The hospital indicated that the data submitted for this measure were based on a sample of cases","85","503","","81","485","","100","563","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","","","TALLASSEE","AL","36078","ELMORE","3342836541","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","93","14","The number of cases is too small to reliably tell how well a hospital is performing","87","15","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","21","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","88","17","The number of cases is too small to reliably tell how well a hospital is performing"
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","","","CULLMAN","AL","35058","CULLMAN","2567372000","100","226","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","226","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","226","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","283","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","283","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","156","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","104","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","185","","100","185","","100","353","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010036","ANDALUSIA REGIONAL HOSPITAL","849 SOUTH THREE NOTCH STREET","","","ANDALUSIA","AL","36420","COVINGTON","3342228466","99","148","","99","145","","99","148","","99","194","","99","194","","Not Available","0","","100","144","","100","62","","98","52","","100","52","","100","218",""
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","","","ANNISTON","AL","36201","CALHOUN","2562358900","99","103","","99","102","","99","104","","95","191","","97","191","","Not Available","0","","97","115","","100","69","","99","101","","98","100","","100","238",""
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","","","HUNTSVILLE","AL","35801","MADISON","2562651000","97","585","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","564","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","592","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","514","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","515","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","161","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","297","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","291","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","996","","99","992","","99","716","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","","","GADSDEN","AL","35903","ETOWAH","2564944000","100","624","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","572","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","629","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","634","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","634","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","173","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","437","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","285","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","294","","98","295","","100","761","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010043","CHILTON MEDICAL CENTER","1010 LAY DAM ROAD","","","CLANTON","AL","35045","CHILTON","2057552500","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","91","11","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","","","HAMILTON","AL","35570","MARION","2059216200","100","11","The number of cases is too small to reliably tell how well a hospital is performing","100","11","The number of cases is too small to reliably tell how well a hospital is performing","73","11","The number of cases is too small to reliably tell how well a hospital is performing","43","14","The number of cases is too small to reliably tell how well a hospital is performing","44","16","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","26",""
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","","","FAYETTE","AL","35555","FAYETTE","2059325966","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","11","The number of cases is too small to reliably tell how well a hospital is performing","91","23","The number of cases is too small to reliably tell how well a hospital is performing","100","23","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","87","15","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","25",""
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","","","GADSDEN","AL","35901","ETOWAH","2565435200","99","292","","98","252","","99","293","","98","335","","98","335","","93","57","","99","293","","99","142","","92","120","","95","110","","100","405",""
"010047","GEORGIANA HOSPITAL","515 MIRANDA ST","","","GEORGIANA","AL","36033","BUTLER","3343762205","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","","","ENTERPRISE","AL","36330","COFFEE","3343470584","100","356","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","353","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","357","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","397","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","397","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","188","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","85","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","236","","98","234","","100","435","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010050","ST VINCENTS BLOUNT","150 GILBREATH DRIVE","","","ONEONTA","AL","35121","BLOUNT","2052743000","94","32","","100","32","","97","32","","97","30","","97","30","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","12","The number of cases is too small to reliably tell how well a hospital is performing","94","16","The number of cases is too small to reliably tell how well a hospital is performing","100","16","The number of cases is too small to reliably tell how well a hospital is performing","100","41",""
"010051","GREENE COUNTY HOSPITAL","509 WILSON AVENUE","","","EUTAW","AL","35462","GREENE","2053723388","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","201 MARIARDEN ROAD","","","DADEVILLE","AL","36853","TALLAPOOSA","2568257821","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"010054","PARKWAY MEDICAL CENTER","1874 BELTLINE RD SW","","","DECATUR","AL","35601","MORGAN","2563502211","96","137","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","135","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","138","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","149","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","151","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","88","84","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","41","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","47","","100","46","","100","201","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","","","DOTHAN","AL","36305","HOUSTON","3347935000","100","960","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","907","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","969","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","924","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","924","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","168","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","677","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","382","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","424","","100","424","","100","1279","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","","","BIRMINGHAM","AL","35205","JEFFERSON","2059397000","99","478","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","463","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","483","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","350","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","350","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","139","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","227","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","217","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","890","","95","929","","100","495","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010058","BIBB MEDICAL CENTER","208 PIERSON AVE","","","CENTREVILLE","AL","35042","BIBB","2059264881","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"010059","LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET","","","MOULTON","AL","35650","LAWRENCE","2569742200","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","","","SCOTTSBORO","AL","35768","JACKSON","2562594444","97","88","","95","87","","93","88","","98","80","","96","81","","Not Available","0","","93","27","","65","23","The number of cases is too small to reliably tell how well a hospital is performing","84","25","","90","21","The number of cases is too small to reliably tell how well a hospital is performing","100","121",""
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","","","GENEVA","AL","36340","GENEVA","3346843655","61","18","The number of cases is too small to reliably tell how well a hospital is performing","33","18","The number of cases is too small to reliably tell how well a hospital is performing","6","18","The number of cases is too small to reliably tell how well a hospital is performing","11","27","","11","28","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","100","30",""
