"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Number of Patients 1","Footnote 1","Percent of Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Number of Patients 2","Footnote 2","Percent of Heart Failure Patients Given Discharge Instructions","Number of Patients 3","Footnote 3"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","","","ANNISTON","AL","36201","CALHOUN","2562358900","100","153","","95","60","","95","136",""
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","","","HUNTSVILLE","AL","35801","MADISON","2562651000","97","341","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","97","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","273","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","","","GADSDEN","AL","35903","ETOWAH","2564944000","100","279","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","75","The hospital indicated that the data submitted for this measure were based on a sample of cases","85","225","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010043","CHILTON MEDICAL CENTER","1010 LAY DAM ROAD","","","CLANTON","AL","35045","CHILTON","2057552500","86","28","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","88","25",""
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","","","HAMILTON","AL","35570","MARION","2059216200","72","32","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","78","27",""
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","","","FAYETTE","AL","35555","FAYETTE","2059325966","100","58","","79","14","The number of cases is too small to reliably tell how well a hospital is performing","86","42",""
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","","","GADSDEN","AL","35901","ETOWAH","2565435200","100","271","","100","68","","100","207",""
"010047","GEORGIANA HOSPITAL","515 MIRANDA ST","","","GEORGIANA","AL","36033","BUTLER","3343762205","79","33","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","87","30",""
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","","","ENTERPRISE","AL","36330","COFFEE","3343470584","100","53","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","23","The number of cases is too small to reliably tell how well a hospital is performing","98","46","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010050","ST VINCENTS BLOUNT","150 GILBREATH DRIVE","","","ONEONTA","AL","35121","BLOUNT","2052743000","100","38","","100","11","The number of cases is too small to reliably tell how well a hospital is performing","100","25",""
"010051","GREENE COUNTY HOSPITAL","509 WILSON AVENUE","","","EUTAW","AL","35462","GREENE","2053723388","88","33","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","41","29",""
"010052","LAKE MARTIN COMMUNITY HOSPITAL","201 MARIARDEN ROAD","","","DADEVILLE","AL","36853","TALLAPOOSA","2568257821","80","15","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010054","PARKWAY MEDICAL CENTER","1874 BELTLINE RD SW","","","DECATUR","AL","35601","MORGAN","2563502211","100","110","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","31","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","94","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","","","DOTHAN","AL","36305","HOUSTON","3347935000","100","281","","100","72","","98","236",""
"010056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","","","BIRMINGHAM","AL","35205","JEFFERSON","2059397000","99","394","","94","133","","97","338",""
"010058","BIBB MEDICAL CENTER","208 PIERSON AVE","","","CENTREVILLE","AL","35042","BIBB","2059264881","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"010059","LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET","","","MOULTON","AL","35650","LAWRENCE","2569742200","97","35","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","71","31",""
"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","","","SCOTTSBORO","AL","35768","JACKSON","2562594444","93","58","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","19","The number of cases is too small to reliably tell how well a hospital is performing","100","41","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","","","GENEVA","AL","36340","GENEVA","3346843655","96","56","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","40",""
"010065","RUSSELL HOSPITAL","3316 HIGHWAY 280","","","ALEXANDER CITY","AL","35010","TALLAPOOSA","2563297100","99","85","","92","24","The number of cases is too small to reliably tell how well a hospital is performing","95","64",""
"010066","FLORALA MEMORIAL HOSPITAL","24273 FIFTH AVENUE","","","FLORALA","AL","36442","COVINGTON","3348583287","67","15","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"010069","MEDICAL CENTER BARBOUR","820 W WASHINGTON ST","","","EUFAULA","AL","36027","BARBOUR","3346887271","95","63","","89","19","The number of cases is too small to reliably tell how well a hospital is performing","87","60",""
"010073","CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270","","","ASHLAND","AL","36251","CLAY","2563542131","94","36","","73","15","The number of cases is too small to reliably tell how well a hospital is performing","65","23","The number of cases is too small to reliably tell how well a hospital is performing"
"010078","NORTHEAST ALABAMA REGIONAL MED CENTER","400 EAST 10TH STREET","","","ANNISTON","AL","36207","CALHOUN","2562355121","99","444","","97","117","","89","352",""
"010079","ATHENS-LIMESTONE HOSPITAL","700 WEST MARKET STREET","","","ATHENS","AL","35611","LIMESTONE","2562339292","99","108","","100","32","","83","84",""
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","","","FOLEY","AL","36535","BALDWIN","2519493400","100","204","","100","37","","100","173",""
"010085","DECATUR GENERAL HOSPITAL","1201 7TH STREET SE","","","DECATUR","AL","35609","MORGAN","2563412000","98","260","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","77","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","219","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010086","NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43","","","WINFIELD","AL","35594","MARION","2054877736","100","38","","100","14","The number of cases is too small to reliably tell how well a hospital is performing","100","24","The number of cases is too small to reliably tell how well a hospital is performing"
"010087","UNIV OF SOUTH ALABAMA MEDICAL CENTER","2451 FILLINGIM STREET","","","MOBILE","AL","36617","MOBILE","2514717110","100","111","","100","68","","99","106",""
"010089","WALKER BAPTIST MEDICAL CENTER","3400 HIGHWAY 78 EAST","","","JASPER","AL","35502","WALKER","2053874000","100","178","","100","49","","100","146",""
"010090","PROVIDENCE HOSPITAL","6801 AIRPORT BOULEVARD","","","MOBILE","AL","36608","MOBILE","2516331000","100","357","","99","78","","96","311",""
"010091","GROVE HILL MEMORIAL HOSPITAL","295 JACKSON HWY S","","","GROVE HILL","AL","36451","CLARKE","2512753191","72","36","The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","33","27","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010092","D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST","","","TUSCALOOSA","AL","35401","TUSCALOOSA","2057597111","100","288","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","98","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","244","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010095","HALE COUNTY HOSPITAL","508 GREEN STREET","","","GREENSBORO","AL","36744","HALE","3346243024","48","21","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","25","16","The number of cases is too small to reliably tell how well a hospital is performing"
"010097","ELMORE COMMUNITY HOSPITAL","500 HOSPITAL DRIVE","","","WETUMPKA","AL","36092","ELMORE","3345674311","57","21","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","0","15","The number of cases is too small to reliably tell how well a hospital is performing"
"010099","D W MCMILLAN MEMORIAL HOSPITAL","1301 BELLEVILLE AVENUE","","","BREWTON","AL","36426","ESCAMBIA","2518678061","100","46","","94","17","The number of cases is too small to reliably tell how well a hospital is performing","85","39",""
"010100","THOMAS HOSPITAL","750 MORPHY AVENUE","","","FAIRHOPE","AL","36532","BALDWIN","2519282375","100","200","","100","40","","99","181",""
"010101","CITIZENS BAPTIST MEDICAL CENTER","604 STONE AVENUE","","","TALLADEGA","AL","35161","TALLADEGA","2567614542","100","113","","100","49","","93","96",""
"010102","J PAUL JONES HOSPITAL","317 MCWILLIAMS AVENUE","","","CAMDEN","AL","36726","WILCOX","3346824131","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"010103","BAPTIST MEDICAL CENTER-PRINCETON","701 PRINCETON AVENUE SOUTHWEST","","","BIRMINGHAM","AL","35211","JEFFERSON","2057833800","100","471","","100","168","","88","408",""
"010104","TRINITY MEDICAL CENTER","800 MONTCLAIR RD","","","BIRMINGHAM","AL","35213","JEFFERSON","2055921000","100","289","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","97","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","254","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010108","PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR","","","PRATTVILLE","AL","36067","AUTAUGA","3343614267","100","108","","100","27","","99","85",""
"010109","PICKENS COUNTY MEDICAL CENTER","241 ROBERT K WILSON","","","CARROLLTON","AL","35447","PICKENS","2053678111","100","45","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","21","The number of cases is too small to reliably tell how well a hospital is performing","94","36","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010110","BULLOCK COUNTY HOSPITAL","102 WEST CONECUH AVENUE","","","UNION SPRINGS","AL","36089","BULLOCK","3347382140","56","34","The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","34","29","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010112","BRYAN W WHITFIELD MEM HOSP INC","105 HIGHWAY 80 EAST","","","DEMOPOLIS","AL","36732","MARENGO","3342894000","55","87","","56","16","The number of cases is too small to reliably tell how well a hospital is performing","85","75",""
"010113","MOBILE INFIRMARY","5 MOBILE INFIRMARY CIRCLE","","","MOBILE","AL","36652","MOBILE","2514354700","100","301","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","96","The hospital indicated that the data submitted for this measure were based on a sample of cases","90","255","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","","","BESSEMER","AL","35021","JEFFERSON","2054817000","99","254","","93","84","","88","212",""
"010118","VAUGHAN REG MED CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","","","SELMA","AL","36701","DALLAS","3344184100","100","367","","100","196","","100","304",""
"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE","","","MONROEVILLE","AL","36461","MONROE","2515753111","97","29","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","23","The number of cases is too small to reliably tell how well a hospital is performing"
"010125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E     POST OFFICE BOX 780","","","HALEYVILLE","AL","35565","WINSTON","2054857117","100","56","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","91","43",""
"010126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","","","TROY","AL","36081","PIKE","3346705000","100","75","","75","20","The number of cases is too small to reliably tell how well a hospital is performing","82","55",""
"010128","JACKSON MEDICAL CENTER","220 HOSPITAL DRIVE","","","JACKSON","AL","36545","CLARKE","2512469021","93","14","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","92","12","The number of cases is too small to reliably tell how well a hospital is performing"
"010129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","","","BAY MINETTE","AL","36507","BALDWIN","2519375521","91","35","","88","16","The number of cases is too small to reliably tell how well a hospital is performing","82","28",""
"010130","ST VINCENT'S ST CLAIR","7063 VETERANS PARKWAY","","","PELL CITY","AL","35125","SAINT CLAIR","2053383301","91","76","","89","19","The number of cases is too small to reliably tell how well a hospital is performing","100","72",""
"010131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","","","HUNTSVILLE","AL","35801","MADISON","2568823100","100","194","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","57","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","166","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010137","COOPER GREEN MERCY HOSPITAL","1515 6TH AVENUE SOUTH","","","BIRMINGHAM","AL","35233","JEFFERSON","2059303200","100","80","","94","54","","76","78",""
"010138","HILL HOSPITAL OF SUMTER COUNTY","751 DERBY DRIVE","","","YORK","AL","36925","SUMTER","2053925263","36","11","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"010139","BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE","","","BIRMINGHAM","AL","35209","JEFFERSON","2058771000","100","326","","99","118","","99","274",""
"010144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","","","MOBILE","AL","36608","MOBILE","2513449630","99","331","","100","100","","96","282",""
"010146","JACKSONVILLE MEDICAL CENTER","1701 SOUTH PELHAM ROAD","","","JACKSONVILLE","AL","36265","CALHOUN","2567824538","87","30","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","11","The number of cases is too small to reliably tell how well a hospital is performing","76","21","The number of cases is too small to reliably tell how well a hospital is performing"
"010148","EVERGREEN MEDICAL CENTER","101 CRESTVIEW AVENUE","","","EVERGREEN","AL","36401","CONECUH","2515782480","88","102","","93","14","The number of cases is too small to reliably tell how well a hospital is performing","78","93",""
"010149","BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD","","","MONTGOMERY","AL","36117","MONTGOMERY","3342448330","100","204","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","37","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","180","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010150","L V STABLER MEMORIAL HOSPITAL","29 L V STABLER DRIVE","","","GREENVILLE","AL","36037","BUTLER","3343822200","100","58","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","17","The number of cases is too small to reliably tell how well a hospital is performing","100","50","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010152","INFIRMARY WEST","5600 GIRBY RD","","","MOBILE","AL","36693","MOBILE","2516605236","95","39","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","35",""
"010157","SHOALS HOSPITAL","201 WEST AVALON AVENUE","","","MUSCLE SHOALS","AL","35661","COLBERT","2563861601","100","50","","83","18","The number of cases is too small to reliably tell how well a hospital is performing","54","35",""
"010158","RUSSELLVILLE HOSPITAL","15155 HIGHWAY 43","","","RUSSELLVILLE","AL","35653","FRANKLIN","2563321611","100","48","","100","11","The number of cases is too small to reliably tell how well a hospital is performing","97","38",""
"010164","COOSA VALLEY MEDICAL CENTER","315 W HICKORY ST","","","SYLACAUGA","AL","35150","TALLADEGA","2562495000","100","109","","100","34","","93","68",""
"010168","JACK HUGHSTON MEMORIAL HOSPITAL","4401 RIVER CHASE DRIVE","","","PHENIX CITY","AL","36867","RUSSELL","3347323000","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010169","ATMORE COMMUNITY HOSPITAL","401 MEDICAL PARK DRIVE","","","ATMORE","AL","36502","ESCAMBIA","2513682500","100","126","","95","41","","95","97",""
"011300","WASHINGTON COUNTY HOSPITAL","14600 ST. STEPHENS AVENUE","","","CHATOM","AL","36518","WASHINGTON","2518472223","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"011302","RED BAY HOSPITAL","211 HOSPITAL ROAD","","","RED BAY","AL","35582","FRANKLIN","2563569532","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"013301","UNIV OF S AL CHILDREN'S & WOMEN'S HOS","1700 CENTER STREET","","","MOBILE","AL","36604","MOBILE","2514151000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"020001","PROVIDENCE ALASKA MEDICAL CENTER","BOX 196604","","","ANCHORAGE","AK","99519","ANCHORAGE","9072613675","99","298","","98","130","","99","290",""
"020006","MAT-SU REGIONAL MEDICAL CENTER","2500 SOUTH WOODWORTH LOOP","","","PALMER","AK","99645","MATANUSKA SUSITNA","9077468600","100","93","","97","35","","100","85",""
"020008","BARTLETT REGIONAL HOSPITAL","3260 HOSPITAL DR","","","JUNEAU","AK","99801","JUNEAU","9077968900","100","23","The number of cases is too small to reliably tell how well a hospital is performing","100","11","The number of cases is too small to reliably tell how well a hospital is performing","95","21","The number of cases is too small to reliably tell how well a hospital is performing"
"020012","FAIRBANKS MEMORIAL HOSPITAL","1650 COWLES STREET","","","FAIRBANKS","AK","99701","FAIRBANKS NORTH STAR","9074528181","100","71","","100","35","","99","68",""
"020017","ALASKA REGIONAL HOSPITAL","2801 DEBARR ROAD","","","ANCHORAGE","AK","99508","ANCHORAGE","9072761131","100","63","","100","24","The number of cases is too small to reliably tell how well a hospital is performing","98","59",""
"020018","YUKON KUSKOKWIM DELTA REG HOSPITAL","PO BOX 287","","","BETHEL","AK","99559","BETHEL","9075436300","82","28","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","39","28",""
"020024","CENTRAL PENINSULA GENERAL HOSPITAL","250 HOSPITAL PLACE","","","SOLDOTNA","AK","99669","KENAI PENINSULA","9072624404","100","41","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","90","42",""
"020026","ALASKA NATIVE MEDICAL CENTER","4315 DIPLOMACY DR","","","ANCHORAGE","AK","99508","ANCHORAGE","9075632662","96","93","","97","68","","89","90",""
"020027","MT EDGECUMBE HOSPITAL","222 TONGASS DR","","","SITKA","AK","99835","SITKA","9079662411","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"021301","PROVIDENCE VALDEZ MEDICAL CENTER","PO BOX 550","","","VALDEZ","AK","99686","VALDEZ CORDOVA","9078352249","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"021302","PROVIDENCE SEWARD HOSPITAL","417 FIRST AVENUE, PO BOX 365","","","SEWARD","AK","99664","KENAI PENINSULA","9072245205","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"021303","SITKA COMMUNITY HOSPITAL","209 MOLLER DRIVE","","","SITKA","AK","99835","SITKA","9077473241","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
