"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Heart Attack Patients Given Aspirin at Discharge","Number of Patients 2","Footnote 2","Percent of Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","Number of Patients 6","Footnote 6","Percent of Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","Number of Patients 7","Footnote 7","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG","Number of Patients 8","Footnote 8","Average number of minutes before outpatients with chest pain or possible heart attack  were transferred to another hospital","Number of Patients 9","Footnote 9","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival","Number of Patients 11","Footnote 11","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival","Number of Patients 12","Footnote 12","Heart Attack Patients Given a Prescription for a Statin at Discharge","Number of Patients 13","Footnote 13","Median Time to Fibrinolysis","Number of Patients 10","Footnote 10"
"010029","EAST ALABAMA MEDICAL CENTER AND SNF","2000 PEPPERELL PARKWAY","","","OPELIKA","AL","36801","LEE","3347493411","100","237","","Not Available","0","","100","33","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","99","219","","Not Available","Not Available","No data are available from the hospital for this measure"
"010032","WEDOWEE HOSPITAL","209 NORTH MAIN STREET","","","WEDOWEE","AL","36278","RANDOLPH","2563572111","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","8","58","","125","11","The number of cases is too small to reliably tell how well a hospital is performing","75","57","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","","","BIRMINGHAM","AL","35233","JEFFERSON","2059344011","99","429","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","90","67","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","98","405","","Not Available","Not Available","No data are available from the hospital for this measure"
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","","","TALLASSEE","AL","36078","ELMORE","3342836541","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","15","21","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","95","19","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","","","CULLMAN","AL","35058","CULLMAN","2567372000","98","43","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","11","93","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","98","86","","93","15","The number of cases is too small to reliably tell how well a hospital is performing","94","48","","24","15","The number of cases is too small to reliably tell how well a hospital is performing"
"010036","ANDALUSIA REGIONAL HOSPITAL","849 SOUTH THREE NOTCH STREET","","","ANDALUSIA","AL","36420","COVINGTON","3342228466","Not Available","0","","Not Available","0","","Not Available","0","","9","75","","Not Available","0","","100","68","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","","","ANNISTON","AL","36201","CALHOUN","2562358900","98","52","","Not Available","0","","94","18","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","98","51","","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","","","HUNTSVILLE","AL","35801","MADISON","2562651000","100","298","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","49","The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","99","283","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","Not Available","No data are available from the hospital for this measure"
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","","","GADSDEN","AL","35903","ETOWAH","2564944000","99","164","The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","97","33","The hospital indicated that the data submitted for this measure were based on a sample of cases","4","20","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","95","20","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","98","143","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"010043","CHILTON MEDICAL CENTER","1010 LAY DAM ROAD","","","CLANTON","AL","35045","CHILTON","2057552500","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","11","54","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","94","49","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","","","HAMILTON","AL","35570","MARION","2059216200","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","4","49","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","96","46","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","","","FAYETTE","AL","35555","FAYETTE","2059325966","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","5","52","","Not Available","0","","98","50","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","","","GADSDEN","AL","35901","ETOWAH","2565435200","100","91","","Not Available","0","","100","14","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","100","79","","Not Available","Not Available","No data are available from the hospital for this measure"
"010047","GEORGIANA HOSPITAL","515 MIRANDA ST","","","GEORGIANA","AL","36033","BUTLER","3343762205","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","","","ENTERPRISE","AL","36330","COFFEE","3343470584","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","6","85","","Not Available","0","","100","82","","82","11","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","22","11","The number of cases is too small to reliably tell how well a hospital is performing"
"010050","ST VINCENTS BLOUNT","150 GILBREATH DRIVE","","","ONEONTA","AL","35121","BLOUNT","2052743000","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","6","93","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","99","86","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010051","GREENE COUNTY HOSPITAL","509 WILSON AVENUE","","","EUTAW","AL","35462","GREENE","2053723388","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","201 MARIARDEN ROAD","","","DADEVILLE","AL","36853","TALLAPOOSA","2568257821","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","13","21","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","21","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"010054","PARKWAY MEDICAL CENTER","1874 BELTLINE RD SW","","","DECATUR","AL","35601","MORGAN","2563502211","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","5","72","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","99","69","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","","","DOTHAN","AL","36305","HOUSTON","3347935000","100","270","","Not Available","0","","97","39","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","100","247","","Not Available","Not Available","No data are available from the hospital for this measure"
"010056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","","","BIRMINGHAM","AL","35205","JEFFERSON","2059397000","97","264","","Not Available","0","","96","46","","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","90","252","","Not Available","Not Available","No data are available from the hospital for this measure"
"010058","BIBB MEDICAL CENTER","208 PIERSON AVE","","","CENTREVILLE","AL","35042","BIBB","2059264881","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"010059","LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET","","","MOULTON","AL","35650","LAWRENCE","2569742200","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","8","58","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","93","56","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","","","SCOTTSBORO","AL","35768","JACKSON","2562594444","91","11","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","16","174","","120","25","","97","168","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","46","13","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","","","GENEVA","AL","36340","GENEVA","3346843655","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","12","23","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","22","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
