"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Children Who Received Reliever Medication While Hospitalized for Asthma","Number of Patients 1","Footnote 1","Percent of Children Who Received Systemic Corticosteroid Medication While Hospitalized for Asthma","Number of Patients 2","Footnote 2","Percent of Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma","Number of Patients 3","Footnote 3"
"033302","PHOENIX CHILDREN'S HOSPITAL","1919 EAST THOMAS ROAD","","","PHOENIX","AZ","85016","MARICOPA","6029330400","99","282","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","280","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","282","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"050047","CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP","2333 BUCHANAN STREET","","","SAN FRANCISCO","CA","94115","SAN FRANCISCO","4156006000","100","48","","100","47","","85","48",""
"050055","CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS","3555 CESAR CHAVEZ STREET","","","SAN FRANCISCO","CA","94110","SAN FRANCISCO","4156416562","100","19","The number of cases is too small to reliably tell how well a hospital is performing","100","19","The number of cases is too small to reliably tell how well a hospital is performing","83","18","The number of cases is too small to reliably tell how well a hospital is performing"
"050454","UCSF MEDICAL CENTER","505 PARNASSUS AVE, BOX 0296","","","SAN FRANCISCO","CA","94143","SAN FRANCISCO","4153532733","100","29","","100","29","","79","29",""
"053302","CHILDREN'S HOSP OF LOS ANGELES","4650 SUNSET BLVD","","","LOS ANGELES","CA","90027","LOS ANGELES","3236692164","100","187","","100","187","","90","184",""
"100246","LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE","1700 S 23RD ST","","","FORT PIERCE","FL","34950","SAINT LUCIE","7724614000","100","54","","100","54","","90","51",""
"110034","MEDICAL COLLEGE OF GA HOSPITALS AND CLINICS","1120 15TH STREET","","","AUGUSTA","GA","30912","RICHMOND","7067216569","100","137","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","137","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","137","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"130006","ST LUKES REGIONAL MEDICAL CENTER","190 EAST BANNOCK STREET","","","BOISE","ID","83712","ADA","2083812222","100","62","","100","62","","85","61",""
"140053","ST JOHNS HOSPITAL","800 E CARPENTER ST","","","SPRINGFIELD","IL","62769","SANGAMON","2175446464","100","75","","100","75","","93","75",""
"140088","THE UNIVERSITY OF CHICAGO MEDICAL CENTER","5841 SOUTH MARYLAND","","","CHICAGO","IL","60637","COOK","7737021000","100","243","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","243","The hospital indicated that the data submitted for this measure were based on a sample of cases","60","240","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"140276","LOYOLA UNIVERSITY MEDICAL CENTER","2160 S 1ST AVENUE","","","MAYWOOD","IL","60153","COOK","7082169000","100","162","","100","153","","78","161",""
"150161","INDIANA UNIVERSITY HEALTH NORTH HOSPITAL","11700 N MERIDIAN ST","","","CARMEL","IN","46032","HAMILTON","3176882000","100","74","","100","74","","88","73","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"180067","UNIVERSITY OF KENTUCKY HOSPITAL","800 ROSE STREET","","","LEXINGTON","KY","40536","FAYETTE","8593235220","100","108","","98","106","","89","108",""
"230017","BRONSON METHODIST HOSPITAL","601 JOHN STREET","","","KALAMAZOO","MI","49007","KALAMAZOO","2693416000","100","90","","99","90","","77","90",""
"263302","CHILDRENS MERCY HOSPITAL","2401 GILLHAM ROAD","","","KANSAS CITY","MO","64108","JACKSON","8162343000","100","354","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","348","The hospital indicated that the data submitted for this measure were based on a sample of cases","80","354","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"320018","MEMORIAL MEDICAL CENTER INC","2450 SOUTH TELSHOR BLVD","","","LAS CRUCES","NM","88011","DONA ANA","5755228641","100","23","The number of cases is too small to reliably tell how well a hospital is performing","96","23","The number of cases is too small to reliably tell how well a hospital is performing","100","22","The number of cases is too small to reliably tell how well a hospital is performing"
"330214","NYU HOSPITALS CENTER","550 FIRST AVENUE","","","NEW YORK","NY","10016","NEW YORK","2122637300","100","24","The number of cases is too small to reliably tell how well a hospital is performing","96","24","The number of cases is too small to reliably tell how well a hospital is performing","48","23","The number of cases is too small to reliably tell how well a hospital is performing"
"330393","UNIVERSITY HOSPITAL ( STONY BROOK )","HEALTH SCIENCES CENTER SUNY","","","STONY BROOK","NY","11794","SUFFOLK","6314444000","100","140","","96","140","","70","138","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"340047","NORTH CAROLINA BAPTIST HOSPITAL","MEDICAL CENTER BOULEVARD","","","WINSTON-SALEM","NC","27157","FORSYTH","3367162011","100","104","","100","104","","83","104","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"340053","PRESBYTERIAN HOSPITAL","200 HAWTHORNE LANE BOX 33549","","","CHARLOTTE","NC","28233","MECKLENBURG","7043844000","100","132","","100","132","","96","132",""
"340085","THOMASVILLE MEDICAL CENTER","207 OLD LEXINGTON RD BOX 789","","","THOMASVILLE","NC","27360","DAVIDSON","3364722000","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"340113","CAROLINAS MEDICAL CENTER/BEHAV HEALTH","1000 BLYTHE BLVD","","","CHARLOTTE","NC","28203","MECKLENBURG","7043552000","100","404","","100","401","","91","402",""
"340115","FIRSTHEALTH MOORE REGIONAL HOSPITAL","155 MEMORIAL DRIVE","","","PINEHURST","NC","28374","MOORE","9107151000","100","57","","100","56","","89","57",""
"340126","WILSON MEDICAL CENTER","1705 S TARBORO ST","","","WILSON","NC","27893","WILSON","2523998040","100","18","The number of cases is too small to reliably tell how well a hospital is performing","100","18","The number of cases is too small to reliably tell how well a hospital is performing","100","17","The number of cases is too small to reliably tell how well a hospital is performing"
"393302","CHILDREN'S HOSPITAL OF PITTSBURGH OF UPMC","4401 PENN AVENUE","","","PITTSBURGH","PA","15224","ALLEGHENY","4126925325","100","436","","100","437","","75","437",""
"393303","CHILDREN'S HOSPITAL OF PHILADELPHIA","34TH ST & CIVIC CENTER BLVD","","","PHILADELPHIA","PA","19104","PHILADELPHIA","2155903745","100","507","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","506","The hospital indicated that the data submitted for this measure were based on a sample of cases","74","507","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"420004","MUSC MEDICAL CENTER","169 ASHLEY AVE","","","CHARLESTON","SC","29425","CHARLESTON","8437922300","100","189","","99","189","","96","188",""
"420043","UPSTATE CAROLINA MEDICAL CENTER","1530 N LIMESTONE ST","","","GAFFNEY","SC","29340","CHEROKEE","8644874271","100","23","The number of cases is too small to reliably tell how well a hospital is performing","96","23","The number of cases is too small to reliably tell how well a hospital is performing","91","23","The number of cases is too small to reliably tell how well a hospital is performing"
"430027","SANFORD USD MEDICAL CENTER","1305 W 18TH ST  PO BOX 5039","","","SIOUX FALLS","SD","57117","MINNEHAHA","6053331000","98","62","","98","63","","97","61",""
"440049","METHODIST HEALTHCARE MEMPHIS HOSPITALS","1265 UNION AVE SUITE 700","","","MEMPHIS","TN","38104","SHELBY","9015168274","100","340","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","337","The hospital indicated that the data submitted for this measure were based on a sample of cases","86","340","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"440063","JOHNSON CITY MEDICAL CENTER","400 N STATE OF FRANKLIN RD","","","JOHNSON CITY","TN","37604","WASHINGTON","4234316111","100","91","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","91","The hospital indicated that the data submitted for this measure were based on a sample of cases","62","91","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"440104","ERLANGER MEDICAL CENTER","975 E 3RD ST","","","CHATTANOOGA","TN","37403","HAMILTON","4237787000","100","35","","100","35","","74","35",""
"450037","GOOD SHEPHERD MEDICAL CENTER","700 EAST MARSHALL AVENUE","","","LONGVIEW","TX","75601","GREGG","9033152000","100","27","","89","27","","63","24","The number of cases is too small to reliably tell how well a hospital is performing"
"450058","BAPTIST MEDICAL CENTER","111 DALLAS STREET","","","SAN ANTONIO","TX","78205","BEXAR","2102971020","100","283","","99","283","","93","283",""
"450068","MEMORIAL HERMANN TEXAS MEDICAL CENTER","6411 FANNIN","","","HOUSTON","TX","77030","HARRIS","7137043700","100","220","","99","216","","95","219",""
"450213","UNIVERSITY HEALTH SYSTEM","4502 MEDICAL DR","","","SAN ANTONIO","TX","78229","BEXAR","2103584000","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"450237","CHRISTUS SANTA ROSA HOSPITAL","333 N SANTA ROSA STREET","","","SAN ANTONIO","TX","78207","BEXAR","2107042011","100","172","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","172","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","172","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"450388","METHODIST HOSPITAL","7700 FLOYD CURL DR","","","SAN ANTONIO","TX","78229","BEXAR","2105754000","100","476","","100","476","","99","475",""
"453300","COOK CHILDRENS MEDICAL CENTER","801 SEVENTH AVENUE","","","FORT WORTH","TX","76104","TARRANT","6828854000","100","276","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","276","The hospital indicated that the data submitted for this measure were based on a sample of cases","83","275","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"453301","DRISCOLL CHILDRENS HOSPITAL","3533 S ALAMEDA BOX 6530","","","CORPUS CHRISTI","TX","78411","NUECES","5128505000","100","151","","100","151","","64","151",""
"463301","PRIMARY CHILDRENS MEDICAL CENTER","100 NORTH MARIO CAPECCHI DRIVE","","","SALT LAKE CITY","UT","84113","SALT LAKE","8016626200","100","371","","99","371","","93","371",""
"490009","UNIVERSITY OF VIRGINIA MEDICAL CENTER","JEFFERSON PARK AVE","","","CHARLOTTESVILLE","VA","22908","CHARLOTTESVILLE CITY","8002513627","97","37","","100","35","","57","37","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"490021","CENTRA  HEALTH, INC","1920 ATHERHOLT ROAD","","","LYNCHBURG","VA","24501","LYNCHBURG CITY","4342004789","100","66","","100","66","","90","63",""
"490022","MARY WASHINGTON HOSPITAL, INC","1001 SAM PERRY BOULEVARD","","","FREDERICKSBURG","VA","22401","FREDERICKSBURG CITY","5407411100","100","80","","99","80","","66","76",""
"490063","INOVA FAIRFAX HOSPITAL","3300 GALLOWS RD","","","FALLS CHURCH","VA","22042","FAIRFAX","7037763332","100","212","","100","210","","91","210",""
"490098","COMMUNITY MEMORIAL HEALTHCENTER, INC","125 BUENA VISTA CIRCLE","","","SOUTH HILL","VA","23970","MECKLENBURG","4344473151","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"500024","PROVIDENCE ST PETER HOSPITAL","413 LILLY ROAD NE","","","OLYMPIA","WA","98506","THURSTON","3604919480","100","29","","100","29","","67","27",""
"500054","PROVIDENCE SACRED HEART MEDICAL CENTER","101 WEST 8TH AVENUE","","","SPOKANE","WA","99204","SPOKANE","5094743040","100","93","","100","93","","55","93",""
"240075","ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER","523 NORTH 3RD STREET","","","BRAINERD","MN","56401","CROW WING","2188292861","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"250001","UNIVERSITY OF MISSISSIPPI MED CENTER","2500 N STATE ST","","","JACKSON","MS","39216","HINDS","6019844100","100","168","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","168","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","168","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330101","NEW YORK-PRESBYTERIAN HOSPITAL","525 EAST 68TH STREET","","","NEW YORK","NY","10021","NEW YORK","2127464189","100","337","","99","337","","77","337",""
"340001","CAROLINAS MEDICAL CENTER-NORTHEAST","920 CHURCH ST N","","","CONCORD","NC","28025","CABARRUS","7047833000","100","61","","100","61","","85","59",""
"340002","MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE","509 BILTMORE AVE","","","ASHEVILLE","NC","28801","BUNCOMBE","8282131111","100","63","","95","60","","56","63",""
"340015","ROWAN REGIONAL MEDICAL CENTER","612 MOCKSVILLE AVE","","","SALISBURY","NC","28144","ROWAN","7042105000","100","13","The number of cases is too small to reliably tell how well a hospital is performing","100","13","The number of cases is too small to reliably tell how well a hospital is performing","100","12","The number of cases is too small to reliably tell how well a hospital is performing"
"360068","TOLEDO HOSPITAL THE","2142 NORTH COVE BOULEVARD","","","TOLEDO","OH","43606","LUCAS","4192917463","100","161","","99","160","","96","160",""
"360084","AULTMAN HOSPITAL","2600 SIXTH STREET SW","","","CANTON","OH","44710","STARK","3304529911","100","19","The number of cases is too small to reliably tell how well a hospital is performing","100","19","The number of cases is too small to reliably tell how well a hospital is performing","89","18","The number of cases is too small to reliably tell how well a hospital is performing"
"360123","ST JOHN MEDICAL CENTER","29000 CENTER RIDGE ROAD","","","WESTLAKE","OH","44145","CUYAHOGA","4408358000","100","42","","100","42","","74","39",""
"360137","UNIVERSITY HOSPITALS OF CLEVELAND","11100 EUCLID AVENUE","","","CLEVELAND","OH","44106","CUYAHOGA","2168441000","100","466","","100","463","","98","465",""
"360180","CLEVELAND CLINIC","9500 EUCLID AVENUE","","","CLEVELAND","OH","44195","CUYAHOGA","2164442200","100","91","","100","88","","99","91",""
"370093","O U MEDICAL CENTER","1200 EVERETT DRIVE","","","OKLAHOMA CITY","OK","73117","OKLAHOMA","4052715151","100","293","","100","293","","93","293",""
"380007","LEGACY EMANUEL MEDICAL CENTER","2801 N GANTENBEIN AVENUE","","","PORTLAND","OR","97227","MULTNOMAH","5034132200","100","139","","100","139","","84","139",""
"390049","ST LUKE'S HOSPITAL BETHLEHEM","801 OSTRUM STREET","","","BETHLEHEM","PA","18015","NORTHAMPTON","6109544000","100","58","","100","57","","93","58",""
"420039","WALLACE THOMSON HOSPITAL","322 W SOUTH ST PO BOX 789","","","UNION","SC","29379","UNION","8644270351","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"500079","MULTICARE GOOD SAMARITAN HOSPITAL","401 15TH AVENUE SE","","","PUYALLUP","WA","98372","PIERCE","2536972102","100","32","","100","31","","87","31",""
"503300","SEATTLE CHILDREN'S HOSPITAL","4800 SAND POINT WAY NE/BOX C-5371","","","SEATTLE","WA","98105","KING","2065262000","100","376","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","376","The hospital indicated that the data submitted for this measure were based on a sample of cases","61","375","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"510070","RALEIGH GENERAL HOSPITAL","1710 HARPER ROAD","","","BECKLEY","WV","25801","RALEIGH","3042564100","100","16","The number of cases is too small to reliably tell how well a hospital is performing","100","16","The number of cases is too small to reliably tell how well a hospital is performing","93","15","The number of cases is too small to reliably tell how well a hospital is performing"
"520045","THEDA CLARK MED CTR","130 2ND ST","","","NEENAH","WI","54956","WINNEBAGO","9207293100","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
