"State","Percent of Heart Attack Patients Given Aspirin at Discharge","Percent of Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","Percent of Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","Percent of Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Percent of Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Percent of Heart Failure Patients Given Discharge Instructions","Percent of Pneumonia Patients Whose Initial ER Blood Culture Was Performed Prior To Administration Of First Dose Of Antibiotics","Percent of Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","Surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection","Surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)","Surgery patients who were given the right kind of antibiotic to help prevent infection","Patients who got treatment at the right time (within 24 hours before or after their surgery) to help prevent blood clots","Surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries","Heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery","The percent of surgery patients whose urinary catheters were removed on the first or second day after surgery","Surgery patients who were taking heart drugs called beta blockers before coming to the hospital, who were kept on them","Percent of Children Who Received Reliever Medication While Hospitalized for Asthma","Percent of Children Who Received Systemic Corticosteroid Medication While Hospitalized for Asthma","Percent of Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma","Outpatients having surgery who got an antibiotic at the right time - within one hour before surgery (higher numbers are better)","Outpatients having surgery who got the right kind of antibiotic (higher numbers are better)","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG","Average number of minutes before outpatients with chest pain or possible heart attack  were transferred to another hospital","Median Time to Fibrinolysis","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival","Heart Attack Patients Given a Prescription for a Statin at Discharge","Patients having surgery who were actively warmed in the operating room or whose body temperature was near normal","Average Time Spent in the Emergency Department Before They Were Admitted to a Hospital Bed","Average Time Spent in the Emergency Department After the Doctor Decided to Admit Them","Average Time Patients Spent in the Emergency Department Before Being Sent Home","Average Time Patients Spent in the Emergency Department Before They Were Seen by a Healthcare Professional","Average Time Patients Who Came to the Emergency Department With Broken Bones Had to Wait Before Receiving Pain Medication","Percentage of Patients Who Came to the ER Dept With Stroke Symptoms Who Received Brain Scan Results Within 45 Minutes of Arrival","Percent of Patients Who Received Immunization for the Flu","Percent of Patients Who Received Immunization for Pneumonia"
"MT","99","33","92","93","94","86","96","93","98","98","99","97","98","98","96","96","Not Available","Not Available","Not Available","97","97","12","151","51","99","32","98","100","219","64","127","22","44","13","86","87"
"NC","99","Not Available","97","100","97","94","97","96","99","98","99","98","99","97","97","98","100","99","86","98","97","7","47","27","97","62","98","100","312","115","155","39","70","48","90","91"
"NE","100","33","90","97","95","92","98","94","97","97","99","98","99","96","93","97","Not Available","Not Available","Not Available","96","98","8","71","36","98","47","99","100","209","80","108","22","46","88","86","86"
"NJ","99","68","93","100","98","96","98","97","99","98","99","98","99","97","96","97","Not Available","Not Available","Not Available","97","97","7","80","26","99","70","98","100","355","143","149","35","61","56","88","90"
"NM","99","86","92","95","94","83","96","93","98","97","98","96","97","96","95","93","Not Available","Not Available","Not Available","95","97","8","79","28","97","60","98","99","312","111","158","34","70","32","84","88"
"NV","99","50","95","99","98","90","97","96","99","98","98","97","98","96","96","97","Not Available","Not Available","Not Available","98","97","10","145","30","98","56","98","100","337","154","160","26","55","38","87","90"
"NY","99","62","92","99","95","93","96","95","98","97","98","97","98","96","93","95","Not Available","Not Available","Not Available","95","95","9","74","27","97","61","97","99","366","145","155","36","66","45","84","85"
"OH","99","25","95","100","97","94","98","96","98","97","99","98","98","97","95","97","Not Available","Not Available","Not Available","96","97","6","62","30","96","53","98","100","270","89","136","27","59","47","92","93"
"OK","99","25","94","95","95","89","97","92","98","97","98","96","97","96","92","95","Not Available","Not Available","Not Available","97","97","8","72","30","96","51","97","100","211","61","112","27","59","42","87","88"
"OR","99","30","93","98","97","92","97","96","97","97","98","96","97","96","93","94","Not Available","Not Available","Not Available","95","98","9","52","29","98","58","97","100","234","80","138","32","58","46","81","86"
"PA","99","43","93","99","97","94","98","96","99","98","99","98","99","97","96","97","Not Available","Not Available","Not Available","96","96","8","66","34","97","48","98","100","275","98","135","31","63","47","86","87"
"PR","90","45","56","93","92","85","74","74","85","76","95","82","82","82","85","76","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","85","91","778","240","Not Available","Not Available","Not Available","Not Available","39","29"
"SC","99","100","97","99","97","93","98","96","99","98","99","98","98","97","96","97","Not Available","Not Available","Not Available","98","97","5","56","24","98","75","98","100","272","94","137","34","60","53","91","93"
"SD","99","Not Available","90","94","91","89","96","90","98","97","99","97","98","95","93","96","Not Available","Not Available","Not Available","97","97","6","61","27","98","69","95","99","176","41","113","15","49","35","75","76"
"TN","99","69","96","99","96","91","98","95","98","97","99","97","98","95","94","96","Not Available","Not Available","Not Available","97","97","6","50","27","97","64","98","100","239","75","133","29","68","40","86","88"
"TX","99","67","95","99","97","93","98","95","99","97","99","97","98","95","96","97","100","100","92","98","97","7","63","30","96","53","98","100","274","100","135","28","63","41","84","88"
"UT","100","100","98","99","97","95","97","97","98","98","99","98","98","98","94","95","Not Available","Not Available","Not Available","97","96","7","43","30","97","59","100","99","215","62","125","21","44","57","91","88"
"VA","99","54","96","100","97","95","98","96","98","98","99","98","98","97","96","98","Not Available","Not Available","Not Available","97","97","7","58","25","98","67","98","100","286","99","150","34","62","40","88","90"
"WA","99","60","93","99","95","90","97","95","98","97","98","98","99","95","93","97","Not Available","Not Available","Not Available","96","97","10","50","28","97","62","98","100","260","97","138","23","54","35","85","89"
"WI","99","Not Available","93","98","96","92","98","96","98","98","99","97","98","94","95","96","Not Available","Not Available","Not Available","96","98","7","54","27","98","63","98","100","204","64","120","19","41","55","85","87"
"WV","99","Not Available","92","98","95","92","96","94","98","97","98","96","97","96","95","96","Not Available","Not Available","Not Available","95","95","9","97","28","97","62","97","99","268","84","150","34","78","44","92","93"
